,mean,sem,sd,ci_lower,ci_upper,interval_size,n
time_stamp,8230.103645282526,69.68836360167397,4777.593505202369,8093.481771682161,8366.725518882893,136.6218736003666,4700.0
bit_rate,1034.9893617021276,12.597549434483184,863.6444773429422,1010.2922570843492,1059.686466319906,24.69710461777845,4700.0
buffer_size,33.96320851104554,0.19884208027909434,13.631926224186868,33.57338478504157,34.35303223704952,0.38982372600397497,4700.0
rebuffer_time,0.01290716542995594,0.0033183658280789364,0.22749569955082985,0.006401612231506559,0.01941271862840532,0.006505553198449379,4700.0
chunk_size,518377.0514893617,6333.417560523555,434197.2323506407,505960.5829615887,530793.5200171347,12416.468527773046,4700.0
download_time,3438.547659543361,33.126888669186044,2271.065067018785,3373.603422620194,3503.491896466528,64.94423692316695,4700.0
smoothness,0.23230851063829785,0.005684130484442912,0.3896843530495086,0.2211649492682488,0.2434520720083469,0.011143561370049043,4700.0
reward,0.7471800397150192,0.018108649629409404,1.2414664713891124,0.7116785942386463,0.7826814851913921,0.035501445476372906,4700.0
