video,user,mae,rmse
14,4,12.637434005737305,50.613250732421875
4,48,11.530378341674805,19.98409652709961
14,45,9.465932846069336,33.94439697265625
8,47,12.610834121704102,16.966154098510742
24,3,12.483576774597168,21.632001876831055
24,48,10.67403507232666,18.23829460144043
14,35,7.866985321044922,15.765959739685059
8,23,11.946791648864746,33.111175537109375
18,47,7.142022132873535,12.415570259094238
4,49,17.984180450439453,47.682010650634766
4,59,4.252228260040283,7.5391082763671875
25,84,21.413286209106445,52.544986724853516
24,53,15.409737586975098,29.74700355529785
8,30,8.838128089904785,18.336406707763672
24,49,10.988895416259766,24.337724685668945
4,83,15.544885635375977,43.79941177368164
24,21,5.400679588317871,8.715396881103516
24,15,14.362390518188477,36.19684600830078
24,83,11.862720489501953,32.952239990234375
18,55,10.961406707763672,18.965242385864258
25,44,7.636740684509277,13.901455879211426
24,26,11.472455978393555,22.352277755737305
4,4,18.621530532836914,52.543861389160156
25,4,23.632644653320312,79.89695739746094
14,15,4.317471981048584,6.608177185058594
24,23,9.311856269836426,17.049571990966797
18,44,9.296759605407715,14.927576065063477
18,84,13.448512077331543,22.833311080932617
8,15,9.511042594909668,17.37330436706543
25,3,26.09832191467285,57.46738052368164
25,26,19.350751876831055,68.72944641113281
14,60,3.7554402351379395,6.881227493286133
24,30,4.525120258331299,7.347169876098633
8,49,23.015310287475586,57.43833923339844
18,30,5.172123908996582,8.056217193603516
18,45,9.933172225952148,18.453575134277344
25,53,17.84769630432129,31.861591339111328
25,60,15.896862983703613,56.71228790283203
14,47,7.8501505851745605,9.958047866821289
8,21,2.258000612258911,3.5242886543273926
25,21,5.85416841506958,17.714183807373047
8,45,11.42540454864502,17.837013244628906
14,55,5.744687080383301,12.597979545593262
18,4,5.094407558441162,8.283804893493652
25,55,14.024734497070312,40.80299377441406
24,4,6.679215431213379,17.272842407226562
4,47,9.369093894958496,26.047779083251953
24,59,6.729388236999512,10.979599952697754
4,30,2.2461318969726562,2.9778988361358643
18,60,6.462494373321533,13.924947738647461
8,48,9.531229972839355,30.487598419189453
8,26,6.901305198669434,11.022505760192871
24,44,5.73099422454834,9.012883186340332
14,22,4.919766902923584,8.686394691467285
25,59,17.609140396118164,52.6378059387207
25,49,23.14027214050293,57.44194412231445
4,45,9.181455612182617,22.7177791595459
18,7,18.722455978393555,31.866474151611328
24,55,9.045741081237793,16.875795364379883
18,15,6.64447021484375,9.14197826385498
18,22,4.099118709564209,8.111078262329102
8,3,13.767043113708496,40.27777862548828
24,84,11.05793571472168,17.922985076904297
8,4,20.393991470336914,36.517452239990234
14,84,5.816272735595703,12.469162940979004
4,44,9.691813468933105,17.54602813720703
14,53,8.338343620300293,14.115523338317871
4,3,7.811428546905518,11.835710525512695
25,47,25.459003448486328,64.96289825439453
4,23,28.90658950805664,71.03695678710938
8,44,4.666843414306641,6.988877296447754
14,49,5.732367038726807,8.64103889465332
4,22,4.675684928894043,10.346705436706543
4,26,5.758195400238037,22.50084114074707
25,83,33.031402587890625,91.62886047363281
18,49,19.354888916015625,40.32207107543945
25,15,12.908573150634766,24.186599731445312
8,59,6.030167102813721,8.623741149902344
14,7,8.092510223388672,12.330607414245605
24,60,5.153806686401367,10.328752517700195
18,26,20.075424194335938,49.07210922241211
24,35,8.514930725097656,12.752501487731934
4,60,7.646876335144043,13.619088172912598
24,47,14.361560821533203,42.308048248291016
4,7,7.959017276763916,13.85288143157959
14,59,7.363767147064209,11.585395812988281
18,3,26.910127639770508,55.34089660644531
24,7,15.203557014465332,23.23976707458496
14,23,25.46468734741211,75.86219787597656
14,44,9.378093719482422,16.714784622192383
18,83,16.349184036254883,38.97237014770508
14,48,4.9109954833984375,7.919395923614502
25,22,12.602167129516602,44.61198425292969
14,30,3.6559884548187256,5.839596271514893
25,23,20.21561050415039,56.04499816894531
8,60,3.2695865631103516,5.8768463134765625
8,55,7.204268932342529,23.280376434326172
8,22,2.710505247116089,3.8827831745147705
18,53,20.59172248840332,37.829349517822266
8,7,12.217578887939453,19.114503860473633
25,7,31.274967193603516,77.84366607666016
8,83,10.734763145446777,21.941505432128906
24,45,8.836048126220703,16.20550537109375
24,22,4.354819297790527,8.114174842834473
8,35,13.718562126159668,22.568437576293945
4,53,10.423999786376953,16.033153533935547
25,48,16.466758728027344,33.6082649230957
25,35,15.547144889831543,35.914817810058594
4,21,1.8355422019958496,3.789663076400757
4,15,7.920716285705566,30.64711570739746
18,48,10.595182418823242,21.59478187561035
8,53,16.429609298706055,30.86051368713379
8,84,10.075267791748047,20.701292037963867
4,84,15.561065673828125,33.973182678222656
14,3,10.692355155944824,16.745140075683594
25,45,20.52469253540039,53.65525436401367
14,26,7.122815132141113,12.468607902526855
14,83,12.91923713684082,28.57811164855957
4,35,6.733193874359131,12.171418190002441
25,30,3.3170220851898193,4.847497463226318
18,59,7.941426753997803,12.443731307983398
14,21,3.445728063583374,7.436429023742676
18,23,16.58190155029297,26.23971176147461
18,21,6.959111213684082,14.005970001220703
4,55,17.425949096679688,43.77784729003906
18,35,14.60558032989502,25.560871124267578
-1,-1,11.494112968444824,32.23728942871094
