,mean,sem,sd,ci_lower,ci_upper,interval_size,n
time_stamp,8318.790462209847,70.1949015653284,4812.31999841042,8181.175536655503,8456.40538776419,137.61492555434415,4700.0
bit_rate,1053.095744680851,12.87018792110133,882.3356302932428,1027.864140773202,1078.3273485885002,25.23160390764906,4700.0
buffer_size,32.283840288107356,0.1961955674889536,13.45049044833938,31.899204968276372,32.66847560793834,0.3846353198309842,4700.0
rebuffer_time,0.0014866604085905352,0.0007786456371252343,0.05338125544239815,-3.985019256016694e-05,0.0030131710097412367,0.0015265106011507015,4700.0
chunk_size,527343.3678723404,6462.390004037121,443039.13760762813,514674.0528725745,540012.6828721062,12669.314999765833,4700.0
download_time,3500.118887777661,30.51845378387327,2092.2397808053743,3440.288406477067,3559.9493690782547,59.830481300593874,4700.0
smoothness,0.06804255319148936,0.003088404848878005,0.21173036910111387,0.061987831354398726,0.07409727502857999,0.006054721837090632,4700.0
reward,0.9786605517324224,0.013021571014085173,0.892713932271619,0.9531321659701573,1.0041889374946875,0.025528385762265127,4700.0
