,mean,sem,sd,ci_lower,ci_upper,interval_size,n
time_stamp,8208.882584990844,69.13838579074985,4739.888926106564,8073.338925816585,8344.426244165104,135.54365917426003,4700.0
bit_rate,1000.7659574468086,11.717132568025583,803.286137934935,977.7948827661417,1023.7370321274755,22.971074680666902,4700.0
buffer_size,34.155038374975,0.20835959610646762,14.284414235850083,33.74655585463071,34.56352089531929,0.4084825203442932,4700.0
rebuffer_time,0.01676657665723827,0.004654336853416712,0.319085258609424,0.007641893734338531,0.025891259580138007,0.009124682922899738,4700.0
chunk_size,501162.7325531915,5893.192222792169,404016.90373232786,489609.3121347268,512716.1529716562,11553.420418464695,4700.0
download_time,3407.608474782281,32.96609533633567,2260.0416314980903,3342.979468196879,3472.237481367683,64.62900658540184,4700.0
smoothness,0.1700744680851064,0.0048594061291381534,0.3331440998444301,0.1605477532128403,0.1796011829573725,0.009526714872266112,4700.0
reward,0.7585952097355776,0.022400005058427715,1.535666977278166,0.7146806951513013,0.8025097243198539,0.04391451458427631,4700.0
