video,user,mae,rmse
18,47,7.081148147583008,9.43626880645752
18,47,7.519575119018555,9.549700736999512
18,47,6.810812950134277,9.048107147216797
18,47,5.252584934234619,6.644692420959473
18,47,14.359528541564941,22.834163665771484
18,47,15.070332527160645,23.23794174194336
18,47,5.914281845092773,9.892098426818848
18,47,3.996019124984741,4.850155830383301
18,47,2.5655934810638428,2.9773311614990234
18,47,7.680881023406982,10.58476448059082
8,4,13.755935668945312,23.86042594909668
8,4,27.441225051879883,42.99291229248047
8,4,29.171907424926758,48.69268035888672
8,4,18.12233543395996,28.850536346435547
8,4,37.49973678588867,65.55863189697266
8,4,19.044578552246094,30.978628158569336
8,4,18.310922622680664,26.375154495239258
8,4,18.10234832763672,25.689498901367188
8,4,20.416614532470703,34.45481491088867
8,4,20.951162338256836,34.34043884277344
8,4,10.669867515563965,18.10737419128418
8,4,40.262386322021484,53.41228485107422
8,4,20.158512115478516,34.58147430419922
8,4,33.88523483276367,57.690006256103516
4,35,4.8718342781066895,5.954387664794922
4,35,7.38395881652832,8.133245468139648
4,35,22.834760665893555,36.98405075073242
4,35,11.572526931762695,16.755512237548828
4,35,4.958600997924805,7.407399654388428
4,35,8.761289596557617,13.181644439697266
4,35,4.295420169830322,7.122903823852539
4,35,8.47475814819336,10.342391967773438
4,35,5.680878639221191,6.45833683013916
4,35,6.6394572257995605,8.791068077087402
4,35,2.0003767013549805,2.5287492275238037
4,35,4.925691604614258,5.917917728424072
4,35,4.0633063316345215,5.3679280281066895
4,35,5.107177734375,6.372942924499512
8,23,44.2594108581543,102.77803039550781
8,23,13.649991035461426,39.302188873291016
8,23,6.734046936035156,8.768121719360352
8,23,3.128977060317993,3.6049933433532715
8,23,15.535039901733398,24.415800094604492
8,23,7.476658344268799,9.273406982421875
8,23,5.1386919021606445,6.340088844299316
8,23,9.96226692199707,12.837968826293945
8,23,4.942412376403809,6.963881492614746
8,23,8.143682479858398,10.526212692260742
8,23,5.07682991027832,7.1824798583984375
8,23,20.951904296875,31.90226173400879
8,23,14.4364595413208,25.155900955200195
8,23,9.079380989074707,12.555046081542969
14,44,10.59112548828125,16.527997970581055
14,44,9.390355110168457,13.818732261657715
14,44,7.652498245239258,11.254806518554688
14,44,9.682592391967773,14.155562400817871
14,44,14.718557357788086,25.263219833374023
14,44,6.278022289276123,11.60232162475586
14,44,5.215555667877197,6.150451183319092
14,44,5.88376522064209,8.545098304748535
14,44,19.235809326171875,25.98244285583496
14,44,5.563699245452881,7.646120548248291
14,44,7.301055431365967,18.769742965698242
14,44,10.250452041625977,15.104049682617188
14,44,3.9806387424468994,6.193399906158447
14,44,6.755102634429932,12.602673530578613
8,22,3.170569658279419,3.656510353088379
8,22,2.027587890625,2.68923020362854
8,22,3.499587297439575,4.148439884185791
8,22,2.559325695037842,2.9576950073242188
8,22,4.212778568267822,5.334792137145996
8,22,3.645495653152466,4.6791558265686035
8,22,2.987583637237549,3.503530979156494
8,22,4.509917736053467,5.176725387573242
8,22,2.2153208255767822,3.006308078765869
8,22,4.228309154510498,5.371508598327637
8,22,1.9134358167648315,2.4893147945404053
8,22,2.4792771339416504,3.200942039489746
8,22,2.3663554191589355,3.0793774127960205
8,22,3.13751482963562,4.047554016113281
25,53,10.459992408752441,17.24220848083496
25,53,33.79903030395508,54.986427307128906
25,53,8.803927421569824,14.136817932128906
25,53,9.381806373596191,10.225796699523926
25,53,13.88757038116455,15.613451957702637
25,53,23.869171142578125,39.44599151611328
25,53,16.08529281616211,19.83664894104004
25,53,44.12919998168945,68.12223052978516
25,53,18.311771392822266,25.857786178588867
25,53,6.510568141937256,7.557804584503174
25,53,28.164289474487305,44.18804168701172
25,53,20.481449127197266,32.48344802856445
25,53,9.943768501281738,15.710200309753418
25,53,13.802570343017578,21.581092834472656
8,44,7.179840087890625,10.78010368347168
8,44,4.707997798919678,5.512299060821533
8,44,5.065484523773193,6.913036823272705
8,44,4.107857704162598,4.969119548797607
8,44,3.599003314971924,5.332084655761719
8,44,3.644252061843872,4.48511266708374
8,44,4.384929180145264,4.917328357696533
8,44,4.295943737030029,8.917702674865723
8,44,6.060507297515869,8.13896369934082
8,44,2.377197265625,3.2266902923583984
8,44,2.504547595977783,2.930554151535034
8,44,4.862577438354492,8.799686431884766
8,44,5.447667121887207,8.1983003616333
8,44,3.8380813598632812,5.020117282867432
4,53,9.59556770324707,13.467931747436523
4,53,11.695024490356445,14.96932601928711
4,53,15.820128440856934,21.656034469604492
4,53,5.211556911468506,6.910697937011719
4,53,7.928946495056152,11.023905754089355
